Name;National Prize;Energy (kcal);Protein (g);Fat (g);NotDietType;;;
Egg, chicken, farmed, raw;2475,11;139;14,49;9;vegan;;;
Egg, chicken, native, raw;4504,59;158;13,30;11,60;vegan;;;
Egg, duck;3215,61;185;12,80;13,80;vegan;;;
Egg, quail;3881,49;185;12,80;13,80;vegan;;;
Fish, anchovy, teri, raw;3068,95;112;21,40;2,30;vegetarian;;;
Fish, catfish, lele;2311,32;84;14,80;2,30;vegetarian;;;
Fish, catfish and other freshwater fish;2499,83;159;16,30;10,40;vegetarian;;;
Fish, dried, CotD;6093,66;290,32;56,56;5,44;vegetarian;;;
Fish, dried, salted;5002,20;306;66,40;2,50;vegetarian;;;
Fish, mackerel;2449,26;112;21,40;2,30;vegetarian;;;
Fish, mackerel, king;2169,96;112;21,40;2,30;vegetarian;;;
Fish, milk;2143,99;84;14,80;2,30;vegetarian;;;
Fish, sardines, canned in oil;5676,92;341;24,60;26,50;vegetarian;;;
Fish, tilapia, raw;2398,80;84;18,20;0,70;vegetarian;;;
Fish, tuna, skipjack, raw;2233,17;103;22;1,01;vegetarian;;;
Shrimp, dried;6997,03;306;66,40;2,50;vegetarian;;;
Shrimp, raw;4048,09;79;16,70;0,90;vegetarian;;;
Apple;2622,93;52;0,20;0,40;normal;;;
Banana, average;829,71;92;1;0,50;normal;;;
Coconut, immature, meat;729,41;70;0,50;3,40;normal;;;
Durian;1814,51;98;0,80;0,80;normal;;;
Jackfruit, unripe;633,60;44;1,40;0,20;normal;;;
Langsat, duku or kokosan;1133,73;59;0,20;0,40;normal;;;
Mango, aromatic, sweet;1427,75;65;0,50;0,30;normal;;;
Orange, sweet;1471,15;47;0,90;0,10;normal;;;
Papaya;651,59;39;0,60;0,10;normal;;;
Rambutan, average or from aceh;792,86;49;0,40;0,40;normal;;;
Snake fruit;959,51;82;0,20;0,40;normal;;;
Watermelon;642,21;17;0,30;0,20;normal;;;
Maize, yellow, grain or flour, CotD;596,64;362;8,10;3,60;normal;;;
Maize, yellow, raw;603,89;108;3,30;1,30;normal;;;
Noodles, egg, dry, unenriched;2642,62;384;14,16;4,44;vegan;;;
Rice, white, glutinous, milled;1392,76;361;6,70;0,60;normal;;;
Rice, white, raw, CotD;918,44;361,63;6,70;0,60;normal;;;
Wheat, grain or flour, CotD;979,07;341;13,42;1,82;normal;;;
Beansprout, soybean, raw;913,48;122;13,10;6,70;normal;;;
Peanut, without shell;1950,47;567;25,80;49,20;normal;;;
Tempeh, soybean;959,18;199;19;7,70;normal;;;
Tofu;868,83;76;8,10;4,80;normal;;;
Beef;10685,09;132;19,70;5,30;vegetarian;;;
Beef, meat, lean, cured, dried;6019,12;178;31,10;1,90;vegetarian;;;
Chicken, breast, without skin, raw;4685,53;120;22,50;2,62;vegetarian;;;
Chicken, meat;2941,49;285;26,90;18,90;vegetarian;;;
Pork, meat, lean, raw;5064,04;114;18,70;4,40;vegetarian;;;
Milk, cow, condensed, sweetened;2498,31;320;7,80;8,70;vegan;;;
Milk, cow, powdered, whole;9371,48;497;25,20;28,20;vegan;;;
Milk, cow, whole, fresh, UHT;2055,28;66;3,20;3,90;vegan;;;
Cassava, tuber, dried;514,69;347;2,10;0,60;normal;;;
Cassava, white;405,12;131;1,10;0,30;normal;;;
Potato, raw;1061,31;79;1,70;0,10;normal;;;
Sago palm, starch;732,57;381;0,30;0,10;normal;;;
Sweet potato, white flesh, raw;529,87;98;0,62;0,26;normal;;;
Taro, a variety of, starch;719,80;381;0,30;0,10;normal;;;
Sugar, brown, CotD;1747,05;376;0;0;normal;;;
Sugar, white, CotD;1420,42;387;0;0;normal;;;
Bean, french;924,59;35;1,90;0,30;normal;;;
Bean, yard long, immature;745,71;35;1,90;0,30;normal;;;
Eggplant, purple;591,11;28;0,80;0,20;normal;;;
Indian spinach, raw;722,28;25;2,37;0,31;normal;;;
Leaf, cassava, raw;538,46;37;3,70;0,20;normal;;;
Leaf, greens, mustard;799,01;15;2,30;0,20;normal;;;
Onion, raw;3249,81;44;1,40;0,20;normal;;;
Swamp cabbage, raw;666,64;19;2,60;0,20;normal;;;
Tomato, ripe;928,06;21;0,90;0,30;normal;;;
