Diet#;FoodItem;Daily Costs;Daily Intake (g);Energy (kcal);Protein (g);Fat (g)
1;Egg, duck;478,61;13,40;24,78;1,71;1,85
1;Fish, sardines, canned in oil;662,58;11,67;39,80;2,87;3,09
1;Beansprout, soybean, raw;1418,59;155,29;189,46;20,34;10,40
1;Peanut, without shell;860,67;44,13;250,20;11,38;21,71
1;Tempeh, soybean;1518,39;158,30;315,02;30,08;12,19
1;Cassava, tuber, dried;2137,38;415,27;1441,00;8,72;2,49
1;Leaf, cassava, raw;1536,55;242,56;89,75;8,97;0,49
1;Total;8612,76;1040,62;2350,00;84,09;52,22
2;Fish, sardines, canned in oil;363,94;6,41;21,86;1,58;1,70
2;Maize, yellow, grain or flour, CotD;996,49;167,02;604,60;13,53;6,01
2;Beansprout, soybean, raw;746,48;81,72;99,70;10,71;5,48
2;Peanut, without shell;398,47;20,43;115,84;5,27;10,05
2;Tempeh, soybean;783,82;81,72;162,62;15,53;6,29
2;Tofu;67,26;7,74;5,88;0,63;0,37
2;Cassava, tuber, dried;39,74;7,72;26,79;0,16;0,05
2;Leaf, cassava, raw;868,17;137,05;50,71;5,07;0,27
2;Total;4264,38;509,81;1088,00;52,47;30,22
0;Reference Diet;6400,00;750,00;1500,00;60,00;40,00
