Person Description;Number of People;Energy (kcal);Protein (g);Fat (g);Country
Child (either sex) 2-3 years;15300000;1088,00;11,74;30,22;Ethiopia
Child (either sex) 7-8 years;15300000;1623,00;19,83;45,08;Ethiopia
Child (either sex) 13-14 years;15300000;2574,50;42,12;71,51;Ethiopia
Woman, 18-29y, 65 kg, moderately active;11011100;2750,00;52,52;61,11;Ethiopia
Woman, 30-59y, 65 kg, moderately active;16247086;2600,00;52,52;57,78;Ethiopia
Woman, >60y, 65 kg, moderately active;3956076;2350,00;52,52;52,22;Ethiopia
Man, 18-29y, 70 kg, moderately active;10857968;3300,00;56,56;73,33;Ethiopia
Man, 30-59y, 70 kg, moderately active;15978384;3200,00;56,56;71,11;Ethiopia
Man, >60y, 70 kg, moderately active;3504676;2650,00;56,56;58,89;Ethiopia
Child (either sex) 2-3 years;22000000;1088,00;11,74;30,22;Indonesia
Child (either sex) 7-8 years;22000000;1623,00;19,83;45,08;Indonesia
Child (either sex) 13-14 years;22000000;2574,50;42,12;71,51;Indonesia
Woman, 18-29y, 65 kg, moderately active;40500000;2750,00;52,52;61,11;Indonesia
Woman, 30-59y, 65 kg, moderately active;40500000;2600,00;52,52;57,78;Indonesia
Woman, >60y, 65 kg, moderately active;8450000;2350,00;52,52;52,22;Indonesia
Man, 18-29y, 70 kg, moderately active;41000000;3300,00;56,56;73,33;Indonesia
Man, 30-59y, 70 kg, moderately active;41000000;3200,00;56,56;71,11;Indonesia
Man, >60y, 70 kg, moderately active;6650000;2650,00;56,56;58,89;Indonesia
