indicator;indicator_goal;country;start_value;recent_value;goal_progress;goal_progress_percent;goal_on_track
prevalence_undernourishment;0;Ethiopia;52;20,6;31,4;60,38461538;Yes
prevalence_undernourishment;0;Indonesia;18,5;8,3;10,2;55,13513514;Yes
prevalence_stunting;0;Ethiopia;66,9;38,4;28,5;42,60089686;No
prevalence_stunting;0;Indonesia;48,1;36,4;11,7;24,32432432;No
prevalence_wasting;0;Ethiopia;9,2;9,9;-0,7;-7,608695652;No
prevalence_wasting;0;Indonesia;14,9;13,5;1,4;9,395973154;No
human_trophic_level;2,04;Ethiopia;0,05;0,07;-0,02;-40;No
human_trophic_level;2,04;Indonesia;0,11;0,14;-0,03;-27,27272727;No
snmi;0;Ethiopia;0,81;0,66;0,15;18,51851852;No
snmi;0;Indonesia;0,77;0,69;0,08;10,38961039;No
average_income_foodproducers_$;913,98;Ethiopia;456,99;560,92;103,93;22,74229195;No
average_income_foodproducers_$;5542,68;Indonesia;2771,34;3641,95;870,61;31,41476686;No
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
